Abdurahman-16-2.sol;65;adminAddr = 0x0000000000000000000000000000000000000001;
Abdurahman-17-1.sol;119;uint bonusAmount = (((msg.value / 100)) / INTEREST);
Abdurahman-17-2.sol;148;for (uint idx = ((addresses.length - offset) + 1); ((idx >= 1) && (txs < MASS_TRANSACTION_LIMIT)); (idx--)) {
Abdurahman-17-3.sol;181;for (uint i = (addresses.length + 1); (i > 0); (i--)) {
Abdurahman-2-1.sol;1;contract Abdurahman {
Abdurahman-22-1.sol;75;for (uint i = 0; (i < _addr.length); i) {
Abdurahman-23-1.sol;77;{
Abdurahman-23-2.sol;83;{
Abdurahman-24-2.sol;91;{
Abdurahman-24-3.sol;107;{
Abdurahman-24-4.sol;125;{
Abdurahman-26-1.sol;98;assert((false == pause));
Abdurahman-26-2.sol;99;assert((msg.value >= MINIMUM_INVEST));
Abdurahman-26-3.sol;167;assert((investors[msg.sender].id > 0));
Abdurahman-28-1.sol;99;Investor storage user = investors[msg.sender];
Abdurahman-3-1.sol;75;for (uint i; (i < _addr.length); (i++)) {
Abdurahman-3-2.sol;76;uint id;
Abdurahman-3-3.sol;100;Investor storage user;
Abdurahman-3-4.sol;106;address referrer;
Abdurahman-3-5.sol;119;uint bonusAmount;
Abdurahman-3-6.sol;148;for (uint idx; ((idx >= 1) && (txs < MASS_TRANSACTION_LIMIT)); (idx--)) {
Abdurahman-3-7.sol;149;address addr;
Abdurahman-3-8.sol;168;uint amount;
Abdurahman-3-9.sol;181;for (uint i; (i > 0); (i--)) {
Abdurahman-38-1.sol;167;uint amount = getInvestorDividendsAmount(msg.sender);
Abdurahman-39-1.sol;167;require((investors[tx.origin].id > 0), 'Investor not found.');
Abdurahman-45-1.sol;7;address internal owner = 0x0000000000000000000000000000000000000000;
Abdurahman-45-10.sol;25;address[] internal addresses;
Abdurahman-45-11.sol;27;mapping(address => Investor) internal investors;
Abdurahman-45-12.sol;29;bool internal pause;
Abdurahman-45-2.sol;9;address internal adminAddr;
Abdurahman-45-3.sol;11;uint internal constant MASS_TRANSACTION_LIMIT = 150;
Abdurahman-45-4.sol;13;uint internal constant MINIMUM_INVEST = 10000000000000000 wei;
Abdurahman-45-5.sol;15;uint internal constant INTEREST = 4;
Abdurahman-45-6.sol;17;uint internal depositAmount;
Abdurahman-45-7.sol;19;uint internal round;
Abdurahman-45-8.sol;21;uint internal lastPaymentDate;
Abdurahman-45-9.sol;23;GorgonaKiller internal gorgonaKiller;
Abdurahman-46-1.sol;166;function payoutSelf() public {
Abdurahman-46-2.sol;178;function doRestart() public {
Abdurahman-46-3.sol;205;function bytesToAddress(bytes bys) public pure returns (address addr) {
Abdurahman-5-1.sol;64;adminAddr = msg.sender;
Abdurahman-5-2.sol;65;addresses.length = 1;
Abdurahman-5-3.sol;66;round = 1;
Abdurahman-5-4.sol;67;}
Abdurahman-6-1.sol;7;address public owner;
Abdurahman-9-1.sol;63;function abdurahman() public {
AcceptsHalo3D-1-1.sol;10;modifier onlyTokenContract(){
AcceptsHalo3D-1-2.sol;122;/** Converts all incoming ethereum to tokens for the caller, and passes down the referral addy (if any)
AcceptsHalo3D-10-1.sol;78;uint8 public decimals = 18;
AcceptsHalo3D-10-2.sol;80;uint8 internal dividendFee_ = 20;
AcceptsHalo3D-10-3.sol;82;uint8 internal charityFee_ = 2;
AcceptsHalo3D-10-4.sol;84;uint256 internal tokenPriceInitial_ = 0.0000001 ether;
AcceptsHalo3D-10-5.sol;86;uint256 internal tokenPriceIncremental_ = 0.00000001 ether;
AcceptsHalo3D-10-6.sol;88;uint256 internal magnitude = (2 ** 64);
AcceptsHalo3D-10-7.sol;90;address public giveEthCharityAddress = 0x5ADF43DD006c6C36506e2b2DFA352E60002d22Dc;
AcceptsHalo3D-10-8.sol;100;uint256 internal ambassadorMaxPurchase_ = 0.4 ether;
AcceptsHalo3D-10-9.sol;102;uint256 internal ambassadorQuota_ = 10 ether;
AcceptsHalo3D-12-112.sol;405;if ((int(purchaseEthereum) > 5 ether)) {
AcceptsHalo3D-12-119.sol;412;if ((int(excess) > 0)) {
AcceptsHalo3D-12-137.sol;426;require(((int(_amountOfTokens) > 0) && ((SafeMath.add(_amountOfTokens, tokenSupply_) > tokenSupply_))));
AcceptsHalo3D-12-149.sol;434;if ((int(tokenSupply_) > 0)) {
AcceptsHalo3D-12-205.sol;489;if ((int(a) == 0)) {
AcceptsHalo3D-12-22.sol;186;if ((int(_tokens) > 0)) sell(_tokens);
AcceptsHalo3D-12-49.sol;217;if ((int(tokenSupply_) > 0)) {
AcceptsHalo3D-12-67.sol;264;return (int(length) > 0);
AcceptsHalo3D-12-72.sol;348;if ((int(tokenSupply_) == 0)) {
AcceptsHalo3D-12-8.sol;162;require((int(ethToPay) > 1));
AcceptsHalo3D-12-82.sol;363;if ((int(tokenSupply_) == 0)) {
AcceptsHalo3D-17-1.sol;425;uint256 _fee = (_dividends / magnitude);
AcceptsHalo3D-17-10.sol;514;uint256 c = (a - b);
AcceptsHalo3D-17-2.sol;432;_fee = (_dividends / magnitude);
AcceptsHalo3D-17-3.sol;437;_fee = (_fee + ((_fee - ((_amountOfTokens * (((_dividends * magnitude) / (tokenSupply_))))))));
AcceptsHalo3D-17-4.sol;454;uint256 _tokenPriceInitial = (tokenPriceInitial_ / 1e18);
AcceptsHalo3D-17-5.sol;455;uint256 _tokensReceived = ((((SafeMath.sub((sqrt((((((_tokenPriceInitial ** 2)) + (((2 * ((tokenPriceIncremental_ * 1e18))) * ((_ethereum * 1e18))))) + (((((tokenPriceIncremental_) ** 2)) * ((tokenSupply_ ** 2))))) + ((((2 * (tokenPriceIncremental_)) * _tokenPriceInitial) * tokenSupply_))))), _tokenPriceInitial)) / (tokenPriceIncremental_))) + (tokenSupply_));
AcceptsHalo3D-17-6.sol;471;uint z = (((x + 1)) * 2);
AcceptsHalo3D-17-7.sol;475;z = ((((x / z) + z)) * 2);
AcceptsHalo3D-17-8.sol;492;uint256 c = (a / b);
AcceptsHalo3D-17-9.sol;500;uint256 c = (a * b);
AcceptsHalo3D-18-1.sol;96;uint256 public stakingRequirement = 100000000000000000000;
AcceptsHalo3D-18-10.sol;466;uint256 _etherReceived = ((SafeMath.sub(((((((tokenPriceInitial_ + ((tokenPriceIncremental_ * ((_tokenSupply / 1e18)))))) - tokenPriceIncremental_)) * ((tokens_ - 1000000000000000000)))), (((tokenPriceIncremental_ * (((((tokens_ ** 2) - tokens_)) / 1e18)))) / 2)) / 1e18));
AcceptsHalo3D-18-11.sol;466;uint256 _etherReceived = ((SafeMath.sub(((((((tokenPriceInitial_ + ((tokenPriceIncremental_ * ((_tokenSupply / 1e18)))))) - tokenPriceIncremental_)) * ((tokens_ - 1e18)))), (((tokenPriceIncremental_ * (((((tokens_ ** 2) - tokens_)) / 1000000000000000000)))) / 2)) / 1e18));
AcceptsHalo3D-18-12.sol;466;uint256 _etherReceived = ((SafeMath.sub(((((((tokenPriceInitial_ + ((tokenPriceIncremental_ * ((_tokenSupply / 1e18)))))) - tokenPriceIncremental_)) * ((tokens_ - 1e18)))), (((tokenPriceIncremental_ * (((((tokens_ ** 2) - tokens_)) / 1e18)))) / 2)) / 1000000000000000000));
AcceptsHalo3D-18-2.sol;352;uint256 _ethereum = tokensToEthereum_(1000000000000000000);
AcceptsHalo3D-18-3.sol;367;uint256 _ethereum = tokensToEthereum_(1000000000000000000);
AcceptsHalo3D-18-4.sol;454;uint256 _tokenPriceInitial = (tokenPriceInitial_ * 1000000000000000000);
AcceptsHalo3D-18-5.sol;455;uint256 _tokensReceived = ((((SafeMath.sub((sqrt((((((_tokenPriceInitial ** 2)) + (((2 * ((tokenPriceIncremental_ * 1000000000000000000))) * ((_ethereum * 1e18))))) + (((((tokenPriceIncremental_) ** 2)) * ((tokenSupply_ ** 2))))) + ((((2 * (tokenPriceIncremental_)) * _tokenPriceInitial) * tokenSupply_))))), _tokenPriceInitial)) / (tokenPriceIncremental_))) - (tokenSupply_));
AcceptsHalo3D-18-6.sol;455;uint256 _tokensReceived = ((((SafeMath.sub((sqrt((((((_tokenPriceInitial ** 2)) + (((2 * ((tokenPriceIncremental_ * 1e18))) * ((_ethereum * 1000000000000000000))))) + (((((tokenPriceIncremental_) ** 2)) * ((tokenSupply_ ** 2))))) + ((((2 * (tokenPriceIncremental_)) * _tokenPriceInitial) * tokenSupply_))))), _tokenPriceInitial)) / (tokenPriceIncremental_))) - (tokenSupply_));
AcceptsHalo3D-18-7.sol;464;uint256 tokens_ = ((_tokens + 1000000000000000000));
AcceptsHalo3D-18-8.sol;465;uint256 _tokenSupply = ((tokenSupply_ + 1000000000000000000));
AcceptsHalo3D-18-9.sol;466;uint256 _etherReceived = ((SafeMath.sub(((((((tokenPriceInitial_ + ((tokenPriceIncremental_ * ((_tokenSupply / 1000000000000000000)))))) - tokenPriceIncremental_)) * ((tokens_ - 1e18)))), (((tokenPriceIncremental_ * (((((tokens_ ** 2) - tokens_)) / 1e18)))) / 2)) / 1e18));
AcceptsHalo3D-19-3.sol;100;uint256 internal constant ambassadorMaxPurchase_ = 400000000000000000;
